Item,Month,Quantity
Size 1 Diapers,2024-09,868
Size 1 Diapers,2024-10,774
Size 1 Diapers,2024-11,749
Size 1 Diapers,2024-12,"1,047"
Size 1 Diapers,2025-01,920
Size 1 Diapers,2025-02,"1,151"
Size 1 Diapers,2025-03,"1,309"
Size 1 Diapers,2025-04,"1,068"
Size 1 Diapers,2025-05,993
Size 1 Diapers,2025-06,"1,049"
Size 1 Diapers,2025-07,936
Size 1 Diapers,2025-08,989
Size 1 Diapers,2025-09,842
Size 1 Diapers,2025-10,"1,033"
Size 1 Diapers,2025-11,"1,246"
Size 1 Diapers,2025-12,"1,259"
Size 1 Diapers,2026-01,"1,361"
Size 1 Diapers,2026-02,"1,237"
Size 1 Diapers,2026-03,"1,516"
Size 1 Diapers,2026-04,"1,281"
Size 1 Diapers,2026-05,"1,317"
Size 1 Diapers,2026-06,"1,387"
Size 1 Diapers,2026-07,"1,145"
Size 1 Diapers,2026-08,"1,205"
Size 3 Diapers,2024-09,"1,215"
Size 3 Diapers,2024-10,"1,240"
Size 3 Diapers,2024-11,"1,366"
Size 3 Diapers,2024-12,"1,233"
Size 3 Diapers,2025-01,"1,537"
Size 3 Diapers,2025-02,"1,434"
Size 3 Diapers,2025-03,"1,416"
Size 3 Diapers,2025-04,"1,683"
Size 3 Diapers,2025-05,"1,534"
Size 3 Diapers,2025-06,"1,450"
Size 3 Diapers,2025-07,"1,294"
Size 3 Diapers,2025-08,"1,230"
Size 3 Diapers,2025-09,"1,289"
Size 3 Diapers,2025-10,"1,206"
Size 3 Diapers,2025-11,"1,460"
Size 3 Diapers,2025-12,"1,342"
Size 3 Diapers,2026-01,"1,391"
Size 3 Diapers,2026-02,"1,430"
Size 3 Diapers,2026-03,"1,745"
Size 3 Diapers,2026-04,"1,383"
Size 3 Diapers,2026-05,"1,415"
Size 3 Diapers,2026-06,"1,398"
Size 3 Diapers,2026-07,"1,234"
Size 3 Diapers,2026-08,"1,199"
Size 4 Diapers,2024-09,"1,204"
Size 4 Diapers,2024-10,"1,358"
Size 4 Diapers,2024-11,"1,594"
Size 4 Diapers,2024-12,"1,433"
Size 4 Diapers,2025-01,"1,714"
Size 4 Diapers,2025-02,"1,558"
Size 4 Diapers,2025-03,"1,933"
Size 4 Diapers,2025-04,"1,951"
Size 4 Diapers,2025-05,"1,758"
Size 4 Diapers,2025-06,"1,780"
Size 4 Diapers,2025-07,"1,397"
Size 4 Diapers,2025-08,"1,474"
Size 4 Diapers,2025-09,"1,399"
Size 4 Diapers,2025-10,"1,426"
Size 4 Diapers,2025-11,"1,461"
Size 4 Diapers,2025-12,"1,763"
Size 4 Diapers,2026-01,"1,949"
Size 4 Diapers,2026-02,"1,794"
Size 4 Diapers,2026-03,"1,931"
Size 4 Diapers,2026-04,"1,570"
Size 4 Diapers,2026-05,"1,824"
Size 4 Diapers,2026-06,"1,671"
Size 4 Diapers,2026-07,"1,699"
Size 4 Diapers,2026-08,"1,527"
Size 5 Diapers,2024-09,996
Size 5 Diapers,2024-10,"1,090"
Size 5 Diapers,2024-11,"1,010"
Size 5 Diapers,2024-12,"1,322"
Size 5 Diapers,2025-01,"1,224"
